split,image,sha256,brightness,contrast,saturation,box_count,box_area_total,box_area_median,box_area_min,object_extent,slice_id,slice
train,018af02b9d44a36dd403786a1b149b73_png.rf.96c09b6a655516f9f62e87c5be5db6d9.jpg,01e182e6c75d21c59e4ae22c7c373f15c14b4a1762b911267f92576c02f6af5c,0.10436126395922608,0.09288891419940214,0.194238655239928,10.0,0.04084488824503312,0.0017565190397350993,0.0007734892384105961,0.047824399834437085,2,dark_small_objects_many_parts
train,019f3875a78b812eba2b17e6defe9204_JPG.rf.476dc19ee9ea2e0642dc05ce4b2b00b9.jpg,8e47b867e9c94efc7a5fcbd8d1db3a62f48916bfa4e2011897e1a23dcf894d5a,0.8741236663308275,0.06962289186813042,0.043342392117369406,5.0,0.24693895476504174,0.02940711462450593,0.02363636363636364,0.5825625823451911,2,dark_small_objects_many_parts
train,0hqa3bm5g5231_jpg.rf.c09b8638aea155732c04fd9f6947d14b.jpg,b2a920af9e884a0c34762b2db6fba778b14321ec6c6a99e04088f04cd7393b46,0.16975464854151537,0.12872866335077188,0.30350114410998774,9.0,0.10598668981481482,0.004993730709876543,0.00018229166666666665,0.12989293981481484,2,dark_small_objects_many_parts
train,0oHgn8L_png.rf.91d6f0b9cc21a57c012a3a8c734d89c5.jpg,e7fd6f9e68893bd5f85fd86ccf0ea1195a9b9c2449e478f6b9f00bec432801b7,0.015552966518397483,0.06728846052202225,0.05936160742067823,3.0,0.047137345679012344,0.015541087962962961,0.007173514660493828,0.07614728009259258,2,dark_small_objects_many_parts
train,0tl9ybZ_png.rf.289046ff673fb725fce8f49230eaff53.jpg,0221a8b99272f787d2bbeaeb19f9763cb1d809bf85093868972bcdb20ebb92ab,0.04242608932461874,0.10258807794292905,0.09050079794491038,7.0,0.09071805555555557,0.000688888888888889,0.0005555555555555556,0.1983986111111111,2,dark_small_objects_many_parts
train,0zkwkwu_jpg.rf.0fd053a2e058217dbe33e8ba5c1a4277.jpg,ec7fcad258c37155bb03f2f107eb8d61f8a24642a1ab190dd48bc9b3b5a8c358,0.24331172468987594,0.15000540983521513,0.19576309802485448,18.0,0.1416326530612245,0.0002868480725623583,0.000163265306122449,0.3127936507936508,2,dark_small_objects_many_parts
train,10NThrusterObj-hres_jpg.rf.4a7ebb8913d7cd3ab0c5e3dfee3bb021.jpg,01085e5de27e1a766a58a5f7a2aa6a305f806931f7648de9c0fd3d10f3121ca8,0.8737258050180174,0.24753536850373803,0.04906948687983494,1.0,0.2744150316619952,0.2744150316619952,0.2744150316619952,0.2744150316619952,1,bright_large_objects_few_parts
train,11-4-magellan-rocket-350x2541_jpg.rf.12b6b5641371cd90bf73b35bae2601f7.jpg,24cba96e8676b5b8a1f8316889155339ab55b5a63c00d6655e4306221e79be4e,0.6643189307218951,0.3618853228216978,0.15572752111098345,2.0,0.26762654668166475,0.13381327334083237,0.12148481439820022,0.32193475815523054,1,bright_large_objects_few_parts
train,1200pxIXOFlyby1Large_jpg.rf.5d29f972e55a5c17102e3a324ff8e289.jpg,4c53b3c5638e77cbd7d39d180dcc38bc05dd93cc6b3b00bf30ce9bc5c9d1f6fc,0.15511043028322438,0.2725493975667343,0.22008439606311275,5.0,0.5910156249999999,0.050703125,0.0027194940476190474,0.5823908730158729,0,bright_large_objects_many_parts
train,123_jpg.rf.9207a6099e7d6a5c9f906fb2cd632da6.jpg,55fb7ef5e9e7c327ee8536c63e22c51bfb2e2b5ecceef7c16d40fedc5d75b361,0.8459029771602531,0.2513093331215304,0.14500333000631893,3.0,0.13390481499849768,0.023718419785621975,0.015660238704609385,0.5562896166752945,0,bright_large_objects_many_parts
train,1414652659_b1c63b8fa937f4fa2397dbeaeb5df05f_1_jpg.rf.924a007f6e55baddd26e8cfe41a438fe.jpg,6a903028be2873c0b9d6c98e4d85592a1e05eeb7b63281eb39806ecdd67a50ee,0.9096866625510774,0.23027633303826617,0.03595034655402688,1.0,0.054971514242878564,0.054971514242878564,0.054971514242878564,0.05497151424287855,1,bright_large_objects_few_parts
train,1414652659_d164db8c23666dae7e85c2c828865ac9_2_jpg.rf.283aaeaf3e991cbd4dd4cbec0cbc3a3e.jpg,6668aa2ae2a428406ca374ee60c025527671feefb803bdee95a3aca66e047de3,0.8951087926624922,0.23933647309496195,0.04999336167877796,1.0,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,1,bright_large_objects_few_parts
train,1443582845_563754c1e4e881e2f517b2cbe5bbd185_3_jpg.rf.8fa22fb8b213508e3d0ddfb0565d2116.jpg,ef5e87783e314299b6219ce4fa2a994fce93341ee9d0efa85810cbb830e4781f,0.8998803513822808,0.23926601042588927,0.041156551884669886,1.0,0.13801125919117646,0.13801125919117646,0.13801125919117646,0.13801125919117646,1,bright_large_objects_few_parts
train,1468849352244_jpg.rf.781e93d77513ed85070a85fc390bd991.jpg,161fa844429198a638d7e4fda75e60d7fedb377d046010cc6f35791fbf077fca,0.8694227413897001,0.24034126155952978,0.04538332247266583,1.0,0.05123404255319149,0.05123404255319149,0.05123404255319149,0.05123404255319147,1,bright_large_objects_few_parts
train,15634658asd6aFSDACapture_PNG.rf.3494bb2552ba5c77649d29bee02de25b.jpg,639180d52698cd20fbae6d8c9ad532686ddc63fc169e65b2620f3a1eaa1767c5,0.4238919244993832,0.19595710498850297,0.18055847766352634,1.0,0.0731233907704496,0.0731233907704496,0.0731233907704496,0.0731233907704496,2,dark_small_objects_many_parts
train,16229135687_8404a1ab2a_b_jpg.rf.b1a5eba04fa20c602d28b4a3f91b9f53.jpg,9bd7c7d5121779785f0ed2017b6e326332bd4ad3e5929d8e0bfb09ee0a9a2d21,0.13477368323631536,0.09866237060243158,0.18757639866249234,12.0,0.09199523925781251,0.0012122260199652778,0.0003306070963541667,0.07022772894965279,2,dark_small_objects_many_parts
train,1654165415a5s4dfCapture_PNG.rf.a6f8d142b6fdb9c932972a4ab8b3454b.jpg,4ec8df69fbe43cba1af04845be193a8cbf87efa63d7d4bd9641f627a50bec0cd,0.6388568706834961,0.1720200434885165,0.06448029910816866,1.0,0.16366396761133603,0.16366396761133603,0.16366396761133603,0.16366396761133603,1,bright_large_objects_few_parts
train,17533052711593694977gol1_png.rf.6658a1116818b3f650fcfc11e9f995c1.jpg,4ccc5e3cd6a41500676413b8730e2d537405a6110c98db4a4c9f85a0a2203f7f,0.09300345898390219,0.1644520234806321,0.2164062649595971,17.0,0.17508728780864197,0.0006148726851851852,1.1574074074074075e-05,0.19572723765432098,2,dark_small_objects_many_parts
train,1913783_orig_png.rf.85a37081bb76a0acd67f60021427b958.jpg,159a810091f1a2a1c0ee55676302af6bdd568897a2b9a2170c4bf5c66188197b,0.7291662606822147,0.3326370357026948,0.16539747948740044,1.0,0.26735547355473555,0.26735547355473555,0.26735547355473555,0.26735547355473555,1,bright_large_objects_few_parts
